demo,round_num,t_avg_money,ct_avg_money,t_avg_equip,ct_avg_equip,t_equip_tier,ct_equip_tier,t_rifles,ct_rifles,t_smgs,ct_smgs,t_util_count,ct_util_count,t_loss_streak,ct_loss_streak,round_in_half,is_second_half,winner,t_won,bomb_planted,bomb_site,attack_site,ct_a,ct_b,ct_mid,ct_formation,smoke_A,smoke_B,smoke_MID,prev_plant_A,prev_plant_B,prev_plant_none,prev_no_history,prev_t_won,prev_t_tier,prev_ct_tier,rounds_since_plant_A,rounds_since_plant_B,streak_same_site
1win-vs-ww-m2-mirage.dem,0,300.0,2290.0,3620.0,360.0,0,0,0,0,0,0,0,0,0,0,0,0,CT,0,0,,no_plant,0,3,1,0-1-3,0,0,0,0,0,0,1,0.5,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,2,1330.0,2470.0,2500.0,6070.0,0,0,0,0,0,0,0,0,2,0,2,0,CT,0,0,,no_plant,1,1,1,1-1-1,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,3,80.0,5330.0,3650.0,6170.0,0,0,0,0,0,0,0,0,3,0,3,0,CT,0,0,,no_plant,2,1,2,2-2-1,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,4,650.0,4350.0,3390.0,6130.0,0,0,0,0,0,0,0,0,4,0,4,0,CT,0,0,,no_plant,2,1,2,2-2-1,0,1,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,5,1600.0,6980.0,2440.0,6090.0,0,0,0,0,0,0,0,0,5,0,5,0,CT,0,0,,no_plant,2,1,2,2-2-1,1,0,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,7,1110.0,2990.0,5310.0,6050.0,0,0,0,0,0,0,0,0,5,0,7,0,CT,0,0,,no_plant,2,2,1,2-1-2,0,0,1,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,10,600.0,2720.0,3280.0,6150.0,0,0,0,0,0,0,0,0,5,0,10,0,CT,0,0,,no_plant,1,0,4,1-4-0,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,11,110.0,110.0,950.0,810.0,0,0,0,0,0,0,0,0,5,0,11,0,CT,0,0,,no_plant,1,1,2,1-2-1,1,0,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,12,1850.0,320.0,1060.0,4250.0,0,0,0,0,0,0,0,0,0,0,0,1,CT,0,0,,no_plant,2,2,1,2-1-2,1,0,0,0,0,0,1,0.5,0.0,0.0,1.0,1.0,0.0
1win-vs-ww-m2-mirage.dem,13,70.0,1680.0,4420.0,4600.0,0,0,0,0,0,0,0,0,1,0,1,1,CT,0,0,,no_plant,1,1,3,1-3-1,1,1,0,0,0,1,0,0.0,0.0,0.0,1.0,1.0,0.0
